tmid,period_min,period_max,place,diplomatic,lemmatized
77999,-1,-1,Herakleopolis,"[Σαραπίων] [Πε]τ̣ειμ̣ούθηι̣ χαίρε̣ι̣ν · τοῦ π̣ρὸς [Λεωνίδην] [χρη]μ̣ατισμοῦ ἀντίγραφ[ο]ν ὑπ̣όκε̣ι̣τ̣[αι] ἔρρω(σο) (ἔτους) λα Μεχ(εὶρ) [ϛ] [Λεωνίδηι] [.] τ̣ο̣ῦ̣ παρὰ [Θρασύλλου] [τοῦ] [σ]υ̣γγενοῦς καὶ διοικητοῦ [χρηματισμοῦ] [ἀντί]γραφον ὑπόκειται · κατακολου-[θήσας] [οὗν] [μέτρη]σον συνυπογράφοντος [Πετειμούθου] [τ]ο̣ῦ̣ [β]ασιλικοῦ γραμμ̣ατ̣έως τοῖς ἐπὶ τῆς̣ [συμπλεούσης] Ἀλ̣ε̣ξ̣άνδρωι τ̣ῶι ἐπὶ τῆς ὑπηρεσίας π̣ροκεχε̣ιρισμένω̣ι̣ εἰς τὴν χώραν [τὸ] κ̣α̣θ̣[ῆκον] μέ̣τρημα τοῦ μη(νὸς) (πυροῦ) (ἀρτάβας) ξδ , [ἀπὸ] [Τυβὶ] [ἕως] [Μεχεὶρ] τ̣οῦ παρόντος (δι)μή(νου) τὰς συν̣-[κεκριμένας] [δόσεις] [πυ]ρ̣ο̣ῦ̣ (ἀρταβῶν) ἑκατὸν εἴκοσι ὀκτ̣[ώ]ι̣* , [(γίνονται)] [πυροῦ] [ἀρτάβ(αι)] ρκη , καὶ σύ(μβολον) καὶ ἀντισύ(μβολον) ποίη(σαι) π̣[ρὸς] [αὐ(τοὺς)] [ὡς] [καθήκει] [.] [(ἔτου)] [ν]α̣ Μεχεὶρ ϛ [Θρ]ά̣συ[λλος] [Σ]αραπίωνι χαίρειν . χρημάτισον Π̣[τολε]-[μα]ίου τ̣ο̣ῦ π̣ρὸς τῶι διοικητικῶι στόλωι τοῖς ἐ̣π̣ὶ̣ [τῆς] μ̣ηγου* τῆς συμπλεούσης Ἀλεξάνδρωι τῶι ἐπὶ τῆς ὑπη-ρεσίας προ̣κεχειρισμένωι εἰς τὴν χώραν , τὰ κεκριμένα σιταρχήματα ἀπὸ Ἁθὺρ τοῦ [λα] (ἔτους) ἐφʼ ὃν ἂν ἦι ἐπὶ τῶν τόπων χρό̣νων* , καὶ αἱ δόσ̣εις γινέσθωσαν κατὰ μῆνα τοῦ μηνὸ̣ς̣ χαλκοῦ (τάλαντα) δέκα δύο , (γίνονται) χα(λκοῦ) (τάλαντα) ιβ , πυροῦ ἀρτάβ(ας) ξδ , (γίνονται?) (πυροῦ) (ἀρτάβαι?) ξδ , καὶ σύ(μβολον) καὶ ἀντισύ(μβολον) ποί̣η(σαι) ὡς εἴθιστ̣αι . ἔρρωσο (ἔτους) λα Ἀπελλαίου κα Φαω(φὶ) κα . τοῖς γρα(μματεῦσιν) (ἔτους) λα Μεχ(εὶρ) ϛ . Ἡρακλεοδώρωι (ἔτους) λα Μεχ(εὶρ) ϛ .","[['Σαραπίων', 'Πετειμοῦθις', 'χαίρω', '·', ''], ['ὁ', 'πρός', 'Λεωνίδας', 'χρηματισμός', 'ἀντίγραφον', 'ὑπόκειμαι', '_'], ['_', 'ῥώννυμι', 'ἔτος', 'λα', 'Μεχείρ', 'ϛ#', 'Λεωνίδης', '.'], ['_', ''], ['_', 'ὁ', 'παρά', 'Θράσυλλος', 'ὁ', 'συγγενής', 'καί', 'διοικητής', 'χρηματισμός', 'ἀντίγραφον', 'ὑπόκειμαι', '·'], ['κατακολουθέω', 'ὗς', 'μετρέω', 'συνυπογράφω', 'Πετειμουθης', 'ὁ', 'βασιλικός', 'γραμματεύς', 'ὁ', 'ἐπί', 'ὁ', 'συμπλέω', 'Ἀλέξανδρος', 'ὁ', 'ἐπί', 'ὁ', 'ὑπηρεσία', '_', 'προχειρίζω', 'εἰς', 'ὁ', 'χώρα', '_', 'ὁ', 'καθήκω', 'μέτρημα', 'ὁ', 'μείς', 'πυρός', 'ἀρτάβη', 'ξδ#', ',', 'ἀπό', 'Τῦβι', 'ἕως', 'Μεχείρ', 'ὁ', 'πάρειμι', 'δίμηνος', 'ὁ', 'συγκρίνω', 'δόσις', 'πυρός', 'ἀρτάβη', 'ἑκατόν', 'εἴκοσι', 'ὀκτώ', ',', 'γίγνομαι', 'πυρός', 'ἀρτάβη', 'ρκη#', ',', 'καί', 'σύμβολον', 'καί', 'ἀντισύμβολον', 'ποιέω', 'πρός', 'αὐτός', 'ὡς', 'καθήκω', '.'], ['ἔτης', 'να', 'Μεχείρ', 'ϛ#', 'Θράσυλλος', 'Σαραπίων', 'χαίρω', '.', ''], ['χρηματίζω', 'Πτολεμαῖος', 'ὁ', 'πρός', 'ὁ', 'διοικητικός', 'στόλος', 'ὁ', 'ἐπί', 'ὁ', '_', '_', 'ὁ', 'συμπλέω', 'Ἀλέξανδρος', 'ὁ', 'ἐπί', 'ὁ', 'ὑπηρεσία', 'προχειρίζω', 'εἰς', 'ὁ', 'χώρα', '_', ',', 'ὁ', 'κρίνω', 'σιτάρχημα', 'ἀπό', 'Ἀθύρ', 'ὁ', 'λα', 'ἔτος', 'ἐπί', 'ὅς', 'ἄν', 'εἰμί', 'ἐπί', 'ὁ', 'τόπος', 'χρόνος', ',', 'καί', 'ὁ', 'δόσις', 'γίγνομαι', 'κατά', 'μείς', 'ὁ', 'μείς', 'χαλκός', 'τάλαντον', 'δέκα', 'δύο', ',', 'γίγνομαι', 'χαλκός', 'τάλαντον', 'ιβ#', ',', 'πυρός', 'ἀρτάβη', 'ξδ#', ',', 'γίγνομαι', 'πυρός', 'ἀρτάβη', 'ξδ#', ',', 'καί', 'σύμβολον', 'καί', 'ἀντισύμβολον', 'ποιέω', 'ὡς', 'ἐθίζω', '.'], ['ῥώννυμι', 'ἔτος', 'λα', 'Ἀπελλαῖος', 'κα', 'Φαῶφι', 'κα', '.'], ['ὁ', 'γραμματεύς', 'ἔτος', 'λα', 'Μεχείρ', 'ϛ#', '.', ''], ['Ἡρακλεόδωρος', 'ἔτος', 'λα', 'Μεχείρ', 'ϛ#', '.', '']]"
117587,-3,-2,Arsinoites,ἡ̣μέτερα̣ θῆι Ἡρακλείδο̣υ̣ ἀδελφοῦ το̣ῦ νῦν καὶ ἔσ̣τιν ἐν τῶι αὐτῶι οἴκωι ἔκριν̣ον γράψαι . χα̣ρίζοιο δ̣ὲ,"[['_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', 'ἡμέτερος', 'θέω', '_'], ['_', '_', ''], ['_', 'Ἡρακλείδης', 'ἀδελφός', 'ὁ', 'νῦν', '_', ''], ['_', '_', ''], ['_', 'καί', 'εἰμί', 'ἐν', 'ὁ', 'αὐτός', 'οἶκος', '_'], ['_', '_', ''], ['_', 'κρίνω', 'γράφω', '.'], ['χαρίζω', 'δέ', '_'], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', '_', '']]"
23344,-1,1,Herakleopolites,Ἀμμώνιος Ἀθηνοδώ[ρωι] [τῶι] [ἀδελφῶι] πλεῖστα χαίρειν καὶ διὰ παντὸς ὑγαίνειν [ὡς] [εὔχομαι] [·] [ἔχω] [τὰ] παρά σουγράμματα δι* ου* [ἐ]σήμαινες περὶ τῆς μοι οὐ κακοπαθεῖ ε̣ἰσὶν ἐν Ἡρακλ[έους] [πόλει] ἕως γενόμ[εν]ος · σήμερον οὖν τεύξ[ομαι] [τὰ] [δʼ] ἄλλα σεα<υ>τοῦ ἐπιμέλ(ου) ἵνʼ ὑγαίνῃς · [(ἔτους)] [Καίσ]αρος Παχὼν ζ Ἀθη[νοδ]ώρωι,"[['Ἀμμώνιος', 'Ἀθηνόδωρος', 'ὁ', 'ἀδελφός', 'πολύς', 'χαίρω', 'καί', 'διά', 'πᾶς', 'ὑγαίνω', 'ὡς', 'εὔχομαι', '·', ''], ['ἔχω', 'ὁ', 'παρά', 'σόυγραμμα', 'διά', 'ἐάν', 'σημαίνω', 'περί', 'ὁ', '_', 'ἐγώ', 'οὐ', 'κακοπαθέω', '_', 'εἰμί', 'ἐν', 'Ἡρακλῆς', 'πόλις', '_'], ['_', 'ἕως', 'γίγνομαι', '·'], ['σήμερον', 'οὖν', 'τεύχω', '_', 'ὁ', 'δέ', 'ἄλλος', 'σεαυτοῦ', 'ἐπιμελέομαι', 'ἵνα', 'ὑγαίνω', '·'], ['_', ''], ['_', 'ἔτος', '_', 'Καῖσαρ', 'Παχών', 'ζ#', ''], ['Ἀθηνόδωρος', '']]"
29817,2,2,Claudianus Mons,"Εὐτύχ(ῳ) Λ̣ω̣γ̣γ̣ε̣ῖ̣ν̣ο̣ς̣ χα(ίρειν) . οὐκ ἔλαβον παρʼ Ἐπαγα-θίωνος τὰς (δραχμὰς) κ . λοι-πόν , ἠ* ἐν σοί εἰσιν , ἐπιστο-λίδιόν μοι γράψεις . ἔρρωσο .","[['Εὔτυχος', 'Λογγεῖνος', 'χαίρω', '.', ''], ['οὐ', 'λαμβάνω', 'παρά', 'Ἐπαγαθίων', 'ὁ', 'δραχμή', 'κ#', '.'], ['λοιπός', ',', 'εἰ', 'ἐν', 'σύ', 'εἰμί', ',', 'ἐπιστολίδιον', 'ἐγώ', 'γράφω', '.'], ['ῥώννυμι', '.']]"
18518,2,3,Egypt,[ὑπ]όβλητ[ος] μενη τῷ γ (ἔτει) κοσμ[ῆ]σαι ἅ[π]αντας Ῥωμαίων [εἴτε] [κατʼ] ἄγνοιαν εἴτε ἐπα̣νόρ-[θωσιν] πᾶσι το[ῖς] φα[νε]ρ[ὸν] γενέσθαι ἀρχαίων [τὴν] δὲ πο[λ]ειτίαν* ἐπὶ τὸ βέλτιον καὶ εὐτ[υ]χ̣[έστερον] ταύτης μου [τῆς] [ἐπιστ]ολῆς τὸ ἀντίγραφον δημοσίᾳ ἔν τε [ταῖς] [μητροπόλεσι] [καὶ] [ἐν] [τοῖς] ἐπισήμοις τ[ῶν] [νο]μῶν τόποις προθεῖναι φροντίσατε . ἐρρ[ῶσθαι] [ὑμᾶς] [εὔχομαι] . (ἔτους) κγ Φαμε[νὼθ],"[['_', ''], ['_', '_', ''], ['_', 'ὑπόβλητος', '_', ''], ['_', '_', '_', ''], ['_', 'ὁ', 'γ#', 'ἔτος', '_', ''], ['_', 'κοσμέω', '_', ''], ['_', 'ἅπας', '_', ''], ['_', 'Ῥωμαῖος', '_', ''], ['_', 'εἴτε', 'κατά', 'ἄγνοια', 'εἴτε', '_', '', ''], ['_', 'ἐπανόρθωσις', '_', ''], ['πᾶς', 'ὁ', '_', 'φανερός', 'γίγνομαι', '_', ''], ['_', 'ἀρχαῖος', '_', 'ὁ', 'δέ', 'πολιτεία', 'ἐπί', 'ὁ', 'ἀγαθός', 'καί', 'εὐτυχής', '_', ''], ['_', 'οὗτος', 'ἐγώ', 'ὁ', 'ἐπιστολή', 'ὁ', 'ἀντίγραφον', 'δημοσίᾳ', 'ἐν', 'τε', 'ὁ', 'μητρόπολις', 'καί', 'ἐν', 'ὁ', 'ἐπίσημος', 'ὁ', 'νομός', 'τόπος', 'προτίθημι', 'φροντίζω', '.'], ['ῥώννυμι', 'σύ', 'εὔχομαι', '.'], ['ἔτος', 'κγ#', 'Φαμενώθ', '_', '']]"
2347,-3,-3,Arsinoites,[Ζή]νωνι [χαίρειν] ἐν τῶι Εἰσιείω[ι] Θεόπομπος κα[ὶ] [ἐρ]-γάζεσθαι δυνησόμεθα̣ [τῆι] θ[ε]ῶ̣ι γὰρ,"[['_', ''], ['_', 'Ζήνων', 'χαίρω', '_', ''], ['_', 'ἐν', 'ὁ', 'Εἰσίειωις', '_', ''], ['_', 'Θεόπομπος', 'καί', '_', ''], ['_', 'ἐργάζομαι', '_', ''], ['_', 'δύναμαι', '_'], ['_', 'τῇ', 'θεάω', 'γάρ', '_'], ['_', '_', ''], ['_', '_', '']]"
4850,-1,-1,Herakleopolites,"Ἑλλάνικος Ε̣ὐ̣ρ̣υ̣λ̣όχωι τῶι ἀδελφῶι χαίρειν καὶ ἐρρῶσθαι . πρὸς τῆι συν̣[τάξει] τ̣ῶ̣ν̣ ἐ̣ν̣ τ̣ῶ̣ι̣ Ἡρακλεοπολίτηι κατοίκων ἱππέων ὁμοίω̣ς̣ δ̣ὲ̣ [καὶ] [πρὸς] [τοῖς] καταλοχισμοῖς τούτων καθ[έ]σταται Ἀπίων ἀπὸ Μεχεὶρ τοῦ ε ἕως Τῦβι τοῦ [ϛ] [(ἔτους)] λαβὼν ἐνβριθ[ε]ῖ̣ς̣ δ̣ι̣α̣στολὰς ὑγιῶς καὶ ἀπὸ τοῦ βελτίστου ἀναστρέφε̣σ̣θ̣[αι] μετὰ τοὺς παραχωρησίμους κλήρους δεόντως̣ οἰκονομ̣ε̣ῖ̣ν̣ περὶ τοῦ εἴδους ἀκολ̣[ούθ]ως , ἐφʼ ὧι καὶ ἐν τῶι Τῦβι τοῦ ϛ (ἔτους) παρακαλῇ τῶν","[['Ἑλλάνικος', 'Εὐρύλοχος', 'ὁ', 'ἀδελφός', 'χαίρω', 'καί', 'ῥώννυμι', '.', ''], ['πρός', 'ὁ', 'σύνταξις', '_', '_', 'ὁ', 'ἐν', 'ὁ', 'Ἡρακλεοπολίτης', 'κάτοικος', 'ἱππεύς', 'ὅμοιος', 'δέ', 'καί', 'πρός', 'ὁ', 'καταλοχισμός', 'οὗτος', 'καθίστημι', 'Ἀπίων', 'ἀπό', 'Μεχείρ', 'ὁ', 'ε#', 'ἕως', 'Τῦβι', 'ὁ', 'ϛ#', 'ἔτος', '_', 'λαμβάνω', 'ἐνβριθής', 'διαστολή', 'ὑγιής', 'καί', 'ἀπό', 'ὁ', 'ἀγαθός', 'ἀναστρέφω', '_', 'μετά', '_', 'ὁ', 'παραχωρήσιμος', 'κλῆρος', 'δεόντως', 'οἰκονομέω', '_', '_', 'περί', 'ὁ', 'εἶδος', 'ἀκόλουθος', ',', 'ἐπί', 'ὅς', 'καί', 'ἐν', 'ὁ', 'Τῦβι', 'ὁ', 'ϛ#', 'ἔτος', '_', '_', ''], ['_', 'παρακαλέω', 'ὁ', '_', '_'], ['_', '_', '']]"
70636,4,4,Oxyrynchos,"Κυριακὸς Θέ̣[ωνι] [χ(αίρειν)] [.] δὸς Δημητρίῳ [ἀλείπτῃ] οἴνου κνίδ(ια) δύο , [β] [.] Τῦβι α . Κυριακός .","[['Κυριακός', 'Θέων', 'χαίρω', '.', ''], ['δίδωμι', 'Δημήτριος', 'ἀλείπτης', 'οἶνος', 'κνίδιον', 'δύο', ',', 'β#', '.'], ['Τῦβι', 'α#', '.', ''], ['Κυριακός', '.', '']]"
88663,2,2,Krokodilo,"Ἀπελλᾶς Λουκρητίῳ τῷ τιμιοτάτῳ* χαίρειν . πρὸ μὲν πάντων εὔχυομέ* σε ὑ-γειαίνειν* μετὰ τοῦ ἀβασκάν-του σου ἵππου . ἐρωτητείς* , ἄδελφε , πέμψις* μυ* διὰ Κρινολάου ἢ Λονγείνου τὸν τιπ-πον ἰς* <σ>φενδόνην ἵνα ἀρκεσθῇ · ἀσπάζου Κάσσιν καὶ Σεραπίονα .","[['Ἀπελλᾶς', 'Λουκρήτιος', 'ὁ', 'τίμιος', 'χαίρω', '.', ''], ['πρό', 'μέν', 'πᾶς', 'εὔχομαι', 'σύ', 'ὑγιαίνω', 'μετά', 'ὁ', 'ἀβάσκαντος', 'σύ', 'ἵππος', '.'], ['ἐρωτάω', ',', 'ἀδελφός', ',', 'πέμπω', 'ἐγώ', 'διά', 'Κρινόλαος', 'ἤ', 'Λονγεῖνος', 'ὁ', '_', 'εἰς', 'σφενδόνη', 'ἵνα', 'ἀρκέω', '·'], ['ἀσπάζομαι', 'Κάσσις', 'καί', 'Σεραπίων', '.']]"
72726,2,3,Pselkis,κ̣ρότωνο[ς] ἔπεμψά καὶ παραυτίκ[α],"[['_', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', 'κρότων', '_', ''], ['_', '_', ''], ['_', 'πέμπω', '_'], ['_', '_', ''], ['_', 'καί', '_', ''], ['_', '_', ''], ['_', 'παραυτίκα', '_', '']]"
33152,4,4,Egypt,τῷ ἀδελφ(ῷ) Γεροντίῳ,"[['ὁ', 'ἀδελφός', 'Γερόντιος', '_', ''], ['_', '_', '']]"
129759,7,7,Hermopolites,ἰδοὺ ἓν πλινθάριν* ἐπέμψαμεν τῇ ὑ̣μετέρᾳ περιβλ(έ)π(τῳ) φιλί[ᾳ] ἵ̣[να] ἐπιτ̣ρ̣έψῃ \καὶ/ πρὸς α̣ὐ̣τὸ ποιήσουσιν* ἓξ [ὅ]μ̣[ο]ι̣α καὶ πρὸς̣ τὸ μῆκος καὶ πρ̣[ὸ]ς τὸ πάχος \καὶ/ \τὸ/ \πλάτο̣ς/ ἀπαραλλάκτως τόπ̣ο̣ν εἰς καὶ εἰς δ̣η̣μ̣όσ̣ι̣α̣ δὶ̣ς̣ αὐτὸ̣ν [ἵν]α̣ κάμνωσιν ἐκεῖ καὶ ἐπιτρέψῃ τοῖς διοικηταῖς ἵνα ἐνέγκωσ̣ι[ν] Καλιοπίῳ καὶ κ̣α̣ὶ̣ τέσσαρα̣ς [εἰς] τ̣ὴ̣ν̣ χρεί[αν] αὐτῶν καβαλλίναν [ἀ]φ’ ἑκάστου τόπου βλέπῃ δὲ δέκα τέ[σσαρα]ς̣ ὁλοκοτ|apostrophe|τ̣ί̣ν̣ο̣υ̣ς̣ καὶ παρά[σ]χῃ τοῖ[ς] αὐτοῖς γεωργοῖς τῷ τὰ πά(ντα) περιβλ(έ)π̣(τῳ) τ̣ι(μῆς) ἀ̣ξ̣ί̣ῳ Σενουθίῳ διοικ(η)τ(ῇ) Ἰωάν̣[νης],"[['ἰδού', 'εἷς', 'πλινθάριον', 'πέμπω', 'ὁ', 'ὑμέτερος', 'περίβλεπτος', 'φιλία', 'ἵνα', 'ἐπιτρέπω', 'καί', 'πρός', 'αὐτός', 'ποιέω', 'ἕξ', 'ὅμοιος', 'καί', 'πρός', 'ὁ', 'μῆκος', 'καί', 'πρός', 'ὁ', 'πάχος', 'καί', 'ὁ', 'πλάτος', 'ἀπαράλλακτος', '_'], ['_', 'τόπος', 'εἰς', '_', ''], ['_', '_', ''], ['_', 'καί', 'εἰς', '_', ''], ['_', 'δημόσιος', 'δίς', '_', ''], ['_', '_', ''], ['_', '_', ''], ['_', 'αὐτός', 'ἵνα', 'κάμνω', 'ἐκεῖ', 'καί', 'ἐπιτρέπω', 'ὁ', 'διοικητής', '_'], ['_', ''], ['_', '_', ''], ['_', 'ἵνα', 'φέρω', '_', ''], ['_', 'Καλιόπιος', 'καί', '_', ''], ['_', '_', ''], ['_', 'καί', 'τέσσαρες', '_', ''], ['_', '_', ''], ['_', ''], ['_', '_', ''], ['_', 'εἰς', 'ὁ', 'χρεία', 'αὐτός', 'καβαλλίνα', '_', ''], ['_', 'ἀπό', 'ἕκαστος', 'τόπος', 'βλέπω', 'δέ', 'δέκα', 'τέσσαρες', '_'], ['_', ''], ['_', '_', ''], ['_', 'ὁλοκοττῖνος', 'καί', 'παρέχω', 'ὁ', 'αὐτός', 'γεωργός', '_'], ['ὁ', 'ὁ', 'πᾶς', 'περίβλεπτος', 'τιμή', 'ἄξιος', 'Σενούθιος', 'διοικητής', 'Ἰωάννης', '_', ''], ['_', '_', '']]"
816,-3,-3,Alexandria,"[Ἀ]πολλώνιος Ζήνω[νι] [χαίρειν] . ἀπεστάλκα̣[μέν] [σοι] [ἐκ] [τοῦ] [Ἡ]λιοπολίτου νομοῦ εἰς πρᾶσιν οἴνου κερ(άμια) ρ̣ . φ̣ρ̣[όντισον] [οὖν] [ὅπω]ς̣ π̣ραθῆι τοῦ καλῶς ἐχοντος , τὴν δ̣[ὲ] [τιμὴν] [αὐτοῦ] [δὸς] [εἰς] τοῦς ἀμφιτάπους . [γρά]ψον δʼ ἡμῖν πῶ[ς] [α]ὐτὸν ἀποδόσθαι καὶ σοι [ὑπ]ά̣ρχει γὰρ ἡμῖν καὶ πλειω* οἶνος ἐν τῶι Ἡλιοπολ[ίτηι] . ἔρρωσο . (ἔτους) λ , Δύστρου Ζήνωνι .","[['Ἀπολλώνιος', 'Ζήνων', 'χαίρω', '.', ''], ['ἀποστέλλω', 'σύ', 'ἐκ', 'ὁ', 'Ἡλιοπολίτης', 'νομός', 'εἰς', 'πρᾶσις', 'οἶνος', 'κεράμιον', 'ρ#', '.'], ['φροντίζω', 'οὖν', 'ὅπως', 'πράιζω', 'ὁ', 'καλός', '_', ',', 'ὁ', 'δέ', 'τιμή', 'αὐτός', 'δίδωμι', 'εἰς', 'ὁ', 'ἀμφίταπος', '.'], ['γράφω', 'δέ', 'ἐγώ', 'πῶς', '_', 'αὐτός', 'ἀποδίδωμι', 'καί', '_', 'σύ', '_', 'ὑπάρχω', 'γάρ', 'ἐγώ', 'καί', 'πολύς', 'οἶνος', 'ἐν', 'ὁ', 'Ἡλιοπολίτης', '.'], ['ῥώννυμι', '.'], ['ἔτος', 'λ#', ',', 'Δύστρος', '_', ''], ['Ζήνων', '.', '']]"
74125,4,5,Kysis,τῷ κυρίῳ μου ἀδελφῷ Σαράπει Ἰσοκράτης χαίρειν . δὸς τῷ Ἀγῆς σίτου γεουχικῷ (μέτρῳ) ἀρτάβ̣ην μίαν γί(νεται) (ἀρτάβη) α ὑπὲρ φόρου Βαλανίου* τῆς γ̣ ἰνδικ(τίωνος) . σεσημ(είωμαι) Ἰσοκράτης ἐπιμελ(ητής) .,"[['ὁ', 'κύριος', 'ἐγώ', 'ἀδελφός', 'Σάραπις', 'Ἰσοκράτης', 'χαίρω', '.', ''], ['δίδωμι', 'ὁ', 'Ἀγῆς', 'σῖτος', 'γεουχικός', 'μέτρον', 'ἀρτάβη', 'εἷς', 'γίγνομαι', 'ἀρτάβη', 'α#', 'ὑπέρ', 'φόρος', 'Βαλάνειος', 'ὁ', 'γ#', 'ἰνδικτίων', '.'], ['σημειόω', 'Ἰσοκράτης', 'ἐπιμελητής', '.']]"
32291,3,4,Thebes,[τ]ῇ γυναικί μου φοίνικος,"[['_', ''], ['_', 'ὁ', 'γυνή', 'ἐγώ', '_'], ['_', 'φοῖνιξ', '']]"
10975,3,3,Theadelpheia,π(αρὰ) Ἀλυπίου . τὰ πεμφθέντα καμήλια εἰς μεταφορὰ̣[ν] Περιγένους θρέψαι φρόν[τισον] [κατὰ] [τὸ] ἔθος ἀλλὰ [κ]α[ὶ] τῷ [τῶν] ἡμετέρω[ν] πάρεχε κατʼ αὐτά[ρκειαν?] Ἡρωνεί[νῳ] (ἔτους) α,"[['παρά', 'Ἀλύπιος', '.', ''], ['ὁ', 'πέμπω', '_'], ['_', 'καμήλιον', '_', ''], ['_', 'εἰς', 'μεταφορά', '_', ''], ['_', 'Περιγένης', '_', ''], ['_', 'τρέφω', 'φροντίζω', 'κατά', 'ὁ', 'ἔθος', 'ἀλλά', 'καί', '_', ''], ['_', '_', 'ὁ', '_', ''], ['_', 'ὁ', 'ἡμέτερος', '_', ''], ['_', 'παρέχω', '_'], ['_', 'κατά', 'αὐτάρκεια', '_', ''], ['_', 'Ἡρωνεῖνος', '_', ''], ['_', 'ἔτος', 'α#', '_', '']]"
116738,7,7,Abu Mena,παρ(άσ)χ(ου) Ζαχαρίᾳ (ὑπὲρ) [τρυγ(…)] κ(όλλα)θ(ον) 𐅵,"[['παρέχω', 'Ζαχαρίας', 'ὑπέρ', '_', 'κόλλαθον', '𐅵']]"
